Price,Close,High,Low,Open,Volume,RSI,MACD,MACD_signal,Ichimoku_base,Ichimoku_conversion,Ichimoku_span_a,Ichimoku_span_b,Bollinger_upper,Bollinger_lower
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,,,,,
Date,,,,,,,,,,,,,,
2024-03-06,66106.8046875,67637.9296875,62848.671875,63776.05078125,68750229073,72.41998231205788,4759.51827594723,3948.4807841752086,58037.97265625,61827.412109375,59932.6923828125,53846.259765625,68625.2981763942,45212.444011105814
2024-03-07,66925.484375,68029.921875,65655.53125,66099.7421875,46989543159,73.39892946040548,4868.016530620422,4132.387933464252,58394.015625,62954.525390625,60674.2705078125,53846.259765625,69919.18137383071,45395.08893866929
2024-03-08,68300.09375,70083.0546875,66230.453125,66938.09375,59202881172,75.00327457032259,5007.201762565281,4307.350699284458,58914.408203125,64703.482421875,61808.9453125,54302.474609375,71258.42307907595,45719.55699904905
2024-03-09,68498.8828125,68673.0546875,68053.125,68299.2578125,21609650379,75.23587978727042,5075.045709814782,4460.8897013905225,59244.775390625,64703.482421875,61974.12890625,54302.474609375,72434.49138805896,46181.12228381605
2024-03-10,69019.7890625,70005.203125,68239.9765625,68500.2578125,35683977532,75.86953610364733,5111.918295724623,4591.095420257343,59689.943359375,64703.482421875,62196.712890625,54302.474609375,73468.92991964448,46870.748205355536
2024-03-11,72123.90625,72850.7109375,67194.8828125,69020.546875,65716656765,79.27306319379716,5330.173478608689,4738.911031927612,61706.244140625,66087.310546875,63896.77734375,55686.302734375,74912.25821081207,47411.32303918793
2024-03-12,71481.2890625,72825.65625,68728.8515625,72125.125,62554434520,76.85625777052833,5389.16550176734,4868.961925895558,61706.244140625,66087.310546875,63896.77734375,55686.302734375,75896.4750840117,48391.3171034883
2024-03-13,73083.5,73637.4765625,71334.09375,71482.1171875,48212536929,78.60743814539605,5501.781030575206,4995.525746831488,62099.626953125,66480.693359375,64290.16015625,56079.685546875,76828.00251929251,49637.642402582496
2024-03-14,71396.59375,73750.0703125,68563.0234375,73079.375,59594605698,72.39632082717836,5392.746190973674,5074.969835659926,62155.923828125,68299.37109375,65227.6474609375,56135.982421875,77018.84698768433,51513.26238731567
2024-03-15,69403.7734375,72357.1328125,65630.6953125,71387.875,78320453976,65.78352507432123,5086.892816602391,5077.354431848419,62155.923828125,69690.3828125,65923.1533203125,56629.43359375,76668.57588435244,53646.80067814756
2024-03-16,65315.1171875,70046.2734375,64801.39453125,69392.484375,46842198371,54.73655421252441,4463.1332034442385,4954.510186167583,62155.923828125,69275.732421875,65715.828125,56647.8671875,75563.94236077544,56109.62209234956
2024-03-17,68390.625,68845.71875,64545.31640625,65316.34375,44716864318,60.15660462991428,4168.910389534642,4797.390226840995,62155.923828125,69147.693359375,65651.80859375,56787.880859375,74800.36581440625,58260.02090434376
2024-03-18,67548.59375,68897.1328125,66594.2265625,68371.3046875,49261579492,58.10512954891321,3823.7144055367025,4602.6550625801365,62155.923828125,69147.693359375,65651.80859375,57590.67578125,74100.868699175,60005.8402852
2024-03-19,61912.7734375,68106.9296875,61536.1796875,67556.1328125,74215844794,46.64050607241664,3060.105511030779,4294.145152270265,62155.923828125,67643.125,64899.5244140625,57723.490234375,74151.94961838989,59895.557803485106
2024-03-20,67913.671875,68115.2578125,60807.78515625,61930.15625,66792634382,56.48564214910682,2905.6675857223745,4016.4496389606866,62167.7578125,67278.927734375,64723.3427734375,57784.201171875,73972.507463159,60746.52886496599
2024-03-21,65491.390625,68199.9921875,64580.91796875,67911.5859375,44480350565,52.291580911110984,2558.3257771676654,3724.8248666020827,62340.55078125,67278.927734375,64809.7392578125,57814.630859375,73796.75570683772,61227.35640253729
2024-03-22,63778.76171875,66623.75,62355.37109375,65489.9296875,41401116964,49.493451332347455,2120.417202135708,3403.943333708808,62340.55078125,67278.927734375,64809.7392578125,57814.630859375,73619.75409876347,61579.249416861516
2024-03-23,64062.203125,65976.3984375,63038.4921875,63802.72265625,24738964812,49.970591660417874,1775.7728500920348,3078.3092369854535,64117.134765625,66582.458984375,65349.796875,57814.630859375,73544.17309488534,61744.31362386467
2024-03-24,67234.171875,67622.7578125,63825.8515625,64070.75390625,27206630673,55.08441564974079,1738.5501628772909,2810.357422163821,65244.248046875,65427.029296875,65335.638671875,58007.443359375,73483.20924822122,61695.65325177877
2024-03-25,69958.8125,71162.59375,66414.8359375,67234.09375,42700139523,58.96453251058421,1906.9248006676935,2629.6708978645956,66536.990234375,65985.189453125,66261.08984375,58007.443359375,73607.8381766897,62186.78565143531
2024-03-26,69987.8359375,71535.7421875,69335.609375,69931.328125,36010437368,59.00515824919846,2019.4261751397426,2507.621953319625,66536.990234375,66171.763671875,66354.376953125,58007.443359375,73809.08689356681,62373.640059558194
2024-03-27,69455.34375,71727.6875,68381.9296875,69991.8984375,40827113309,57.87310272977898,2042.0768646817887,2414.512935592058,66536.990234375,66267.736328125,66402.36328125,58007.443359375,73938.74735584033,62496.965534784664
2024-03-28,70744.953125,71546.0234375,68895.5078125,69452.7734375,34374900617,59.8806301005432,2139.4264221328776,2359.495632900222,66536.990234375,66267.736328125,66402.36328125,58139.544921875,74166.30833302221,62513.89049510278
2024-03-29,69892.828125,70913.09375,69076.65625,70744.796875,25230851763,57.916658044769925,2123.34073156456,2312.2646526330896,66536.990234375,67041.529296875,66789.259765625,58263.013671875,74275.15518437017,62544.43817500482
